"pseudo_user","rides_count","avg_length","conversion_potential"
"13194","2898","14.54","High"
"13332","2883","13.38","High"
"13156","2852","24.59","High"
"TA1305000005","2849","25.01","High"
"13059","2841","22.30","High"
"TA1307000061","2840","24.30","High"
"TA1309000006","2835","16.24","High"
"TA1307000121","2797","11.93","Medium"
"KA1503000022","2796","15.99","High"
"13289","2794","16.26","High"
"13224","2780","17.89","High"
"KA1504000171","2771","31.09","High"
"13319","2760","16.01","High"
"SL-010","2740","21.07","High"
"TA1305000037","2740","17.76","High"
"TA1309000042","2735","16.78","High"
"TA1307000130","2722","12.61","High"
"TA1307000070","2711","16.45","High"
"TA1308000005","2682","15.51","High"
"13108","2678","20.57","High"
"WL-011","2660","16.28","High"
"TA1309000059","2655","15.05","High"
"15571","2643","31.87","High"
"chargingstx4","2632","17.22","High"
"13073","2625","13.81","High"
"13136","2619","15.95","High"
"636","2595","15.00","High"
"TA1309000063","2593","20.17","High"
"596","2572","26.70","High"
"18067","2533","25.83","High"
"KA1503000072","2526","18.70","High"
"13294","2520","14.48","High"
"13409","2519","17.04","High"
"15575","2516","31.17","High"
"17660","2510","16.90","High"
"23001","2509","14.21","High"
"13144","2495","17.05","High"
"KA1504000103","2475","16.11","High"
"TA1306000008","2446","15.06","High"
"13075","2442","32.03","High"
"TA1307000140","2434","19.33","High"
"13006","2417","20.45","High"
"TA1305000009","2401","24.87","High"
"13290","2399","15.60","High"
"KA1503000007","2385","32.18","High"
"13241","2385","17.30","High"
"TA1307000158","2353","15.68","High"
"15651","2327","18.31","High"
"KA1503000059","2326","31.87","High"
"13288","2323","16.17","High"
"624","2304","27.08","High"
"WL-008","2301","17.80","High"
"20246.0","2298","12.68","High"
"TA1307000048","2281","46.54","High"
"TA1308000021","2278","18.00","High"
"13109","2267","19.68","High"
"chargingstx3","2254","17.67","High"
"TA1307000144","2249","15.05","High"
"15546","2246","37.41","High"
"22001","2228","14.54","High"
"TA1307000119","2216","23.54","High"
"13269","2212","15.82","High"
"SL-009","2212","21.63","High"
"13160","2205","16.21","High"
"E008","2199","27.48","High"
"13164","2196","16.85","High"
"13257","2188","16.47","High"
"TA1309000011","2143","17.00","High"
"18003","2118","29.62","High"
"15578","2110","24.91","High"
"15550","2105","18.03","High"
"13268","2090","16.51","High"
"TA1307000156","2077","16.64","High"
"RP-009","2075","31.34","High"
"13296","2073","16.10","High"
"TA1309000041","2053","21.54","High"
"13259","2030","18.57","High"
"15650","2019","19.76","High"
"13163","2001","17.48","High"
"18058","1999","16.90","High"
"637","1991","15.46","High"
"TA1305000017","1989","15.65","High"
"13353","1966","15.70","High"
"KA17018068","1958","18.09","High"
"TA1307000143","1951","15.97","High"
"15655","1949","21.91","High"
"TA1309000029","1946","18.61","High"
"TA1308000031","1940","15.04","High"
"chargingstx5","1937","14.95","High"
"13247","1935","16.63","High"
"13248","1918","17.40","High"
"KA1504000149","1908","15.18","High"
"KA1504000116","1902","13.74","High"
"657","1895","15.31","High"
"13242","1881","15.00","High"
"13135","1855","18.05","High"
"TA1309000026","1837","16.09","High"
"TA1308000006","1822","17.34","High"
"13271","1820","17.41","High"
"428","1812","11.52","Medium"
"13292","1809","20.63","High"
"TA1306000006","1781","17.95","High"
"658","1768","16.30","High"
"13434","1725","16.47","High"
"chargingstx07","1717","23.47","High"
"13197","1705","16.33","High"
"KA1503000034","1699","26.83","High"
"13256","1692","18.67","High"
"13037","1684","18.77","High"
"KA1503000052","1681","15.18","High"
"13266","1680","18.56","High"
"TA1307000149","1667","15.35","High"
"KA1504000162","1657","13.31","High"
"TA1307000139","1631","23.75","High"
"15664","1613","13.82","High"
"TA1308000047","1611","16.11","High"
"13258","1600","16.97","High"
"13432","1597","17.30","High"
"chargingstx06","1593","38.19","High"
"TA1307000115","1582","14.74","High"
"202480.0","1577","11.65","Medium"
"13398","1573","29.24","High"
"13155","1567","17.44","High"
"654","1561","15.19","High"
"TA1306000025","1530","16.46","High"
"TA1305000001","1529","24.59","High"
"TA1306000007","1502","17.87","High"
"TA1309000050","1489","18.54","High"
"13143","1484","19.39","High"
"TA1309000021","1482","19.58","High"
"13216","1463","19.00","High"
"15646","1448","17.68","High"
"13206","1446","19.33","High"
"13099","1442","21.43","High"
"13139","1441","16.22","High"
"13253","1433","16.47","High"
"15541.1.1","1430","31.99","High"
"15653","1420","20.60","High"
"20252.0","1419","11.70","Medium"
"TA1309000012","1412","18.34","High"
"KA1504000175","1400","21.57","High"
"KA1504000148","1379","21.30","High"
"520","1375","15.88","High"
"13134","1365","20.56","High"
"E002","1362","28.66","High"
"15648","1358","19.15","High"
"TA1309000064","1358","14.61","High"
"TA1307000159","1349","19.05","High"
"15645","1340","17.16","High"
"KA1504000104","1324","15.34","High"
"KA1504000090","1308","20.09","High"
"13249","1301","15.57","High"
"TA1307000138","1298","15.96","High"
"KA1504000143","1288","20.94","High"
"KA150400009X","1280","18.69","High"
