"pseudo_user","rides_count","avg_length","conversion_potential"
"1175.0","25","24.15","High"
"21360","25","10.03","Medium"
"824","25","16.24","High"
"1031","25","11.53","Medium"
"23143","24","12.54","High"
"1095.0","24","10.16","Medium"
"539","24","7.83","Medium"
"21356","24","18.31","High"
"1040","24","7.71","Medium"
"480","23","12.44","High"
"490","23","13.32","High"
"1113.0","22","14.06","High"
"1229.0","22","16.58","High"
"1243.0","22","17.44","High"
"1227.0","22","11.65","Medium"
"556","22","37.90","High"
"813","22","8.18","Medium"
"935","21","13.25","High"
"541","21","12.84","High"
"20129","21","25.29","High"
"593","21","20.07","High"
"1200.0","21","15.18","High"
"1124.0","21","20.96","High"
"1058","21","22.50","High"
"696","21","12.27","High"
"750","21","17.14","High"
"23191","20","19.94","High"
"581","20","9.56","Medium"
"958","20","15.06","High"
"1097.0","20","15.65","High"
"793","20","9.38","Medium"
"972","20","14.28","High"
"865","20","8.06","Medium"
"775","19","7.15","Medium"
"695","19","12.37","High"
"23107","19","17.15","High"
"1119.0","19","9.32","Medium"
"1088.0","19","13.17","High"
"1214.0","19","27.11","High"
"304","19","17.65","High"
"1112.0","19","8.96","Medium"
"1205.0","18","14.50","High"
"1120.0","18","23.09","High"
"988","18","15.09","High"
"1264.0","18","9.53","Medium"
"20225","18","84.57","High"
"1128.0","18","18.71","High"
"416","17","13.45","High"
"399","17","21.36","High"
"20220","17","10.83","Medium"
"23190","17","21.04","High"
"1012","17","6.18","Medium"
"20210","17","28.95","High"
"1206.0","17","17.91","High"
"770","17","9.42","Medium"
"772","17","9.96","Medium"
"552","17","10.27","Medium"
"1017","17","27.28","High"
"1224.0","17","24.89","High"
"1271.0","17","12.73","High"
"488","17","22.07","High"
"823","17","15.12","High"
"566","16","15.45","High"
"1104.0","16","10.61","Medium"
"550","16","21.34","High"
"815","16","25.63","High"
"1219.0","16","12.90","High"
"1033","16","7.98","Medium"
"873","16","7.54","Medium"
"1155.0","16","15.15","High"
"628","16","10.57","Medium"
"832","16","7.63","Medium"
"21374","16","17.53","High"
"1201.0","16","12.30","High"
"1076.0","16","17.09","High"
"724","16","43.20","High"
"702","15","14.38","High"
"1122.0","15","16.09","High"
"948","15","48.84","High"
"1100.0","15","10.99","Medium"
"1074.0","15","20.84","High"
"1215.0","15","13.09","High"
"1091.0","15","8.83","Medium"
"1181.0","15","12.62","High"
"722","15","34.49","High"
"548","15","14.23","High"
"698","15","9.90","Medium"
"916","15","9.39","Medium"
"788","15","29.04","High"
"1084.0","14","13.05","High"
"20118","14","15.66","High"
"1257.0","14","14.25","High"
"1246.0","14","14.09","High"
"1279.0","14","10.75","Medium"
"1208.0","14","35.79","High"
"1238.0","14","22.31","High"
"21361","14","30.71","High"
"1086.0","13","12.56","High"
"1150.0","13","12.20","High"
"1149.0","13","15.68","High"
"1178.0","13","26.53","High"
"830","13","19.04","High"
"1079.0","13","47.75","High"
"23140","13","16.55","High"
"1056","13","18.43","High"
"21357","13","12.74","High"
"1055","13","13.45","High"
"979","13","25.26","High"
"1141.0","13","31.63","High"
"551","13","8.08","Medium"
"1234.0","13","15.49","High"
"703","13","22.73","High"
"1037","12","9.73","Medium"
"978","12","9.30","Medium"
"652","12","21.17","High"
"984","12","14.47","High"
"1240.0","12","13.91","High"
"1249.0","12","16.71","High"
"1256.0","12","13.59","High"
"719","12","25.19","High"
"1276.0","12","35.56","High"
"760","12","10.17","Medium"
"1277.0","12","21.13","High"
"1284.0","12","33.02","High"
"1211.0","12","14.90","High"
"1087.0","12","13.30","High"
"826","12","20.56","High"
"20130","12","47.56","High"
"694","12","11.66","Medium"
"913","12","15.02","High"
"476","12","7.13","Medium"
"486","12","15.12","High"
"932","12","16.72","High"
"509","12","12.92","High"
"533","12","5.89","Medium"
"563","12","16.15","High"
"1145.0","12","15.73","High"
"627","12","9.60","Medium"
"825","11","5.19","Medium"
"1038","11","18.64","High"
"688","11","7.93","Medium"
"1176.0","11","22.59","High"
"1209.0","11","29.10","High"
"20227","11","25.60","High"
"1222.0","11","13.16","High"
"1216.0","11","19.07","High"
"954","11","11.09","Medium"
"869","11","7.84","Medium"
"2059","11","13.43","High"
"706","11","13.43","High"
"1096.0","11","17.08","High"
"1259.0","11","20.76","High"
"682","11","15.51","High"
"857","11","8.24","Medium"
"23137","11","15.32","High"
"691","11","5.02","Medium"
"23139","11","33.67","High"
"1034","11","19.89","High"
"1132.0","11","11.47","Medium"
"1039","10","8.41","Medium"
"1109.0","10","14.92","High"
"840","10","9.93","Medium"
"1184.0","10","16.25","High"
"21390","10","14.86","High"
"1123.0","10","8.60","Medium"
"717","10","19.73","High"
"23141","10","12.72","High"
"23142","10","14.73","High"
"1212.0","10","17.52","High"
"1148.0","10","16.73","High"
"348","10","18.34","High"
"783","10","12.03","Medium"
"782","10","7.57","Medium"
"957","10","19.40","High"
"1054","10","14.77","High"
"1252.0","10","12.99","High"
"1225.0","10","20.70","High"
"1047","10","14.04","High"
"763","10","13.35","High"
"950","10","14.42","High"
"1018","10","7.35","Medium"
"1168.0","10","36.43","High"
"1171.0","10","29.79","High"
"1172.0","10","16.19","High"
"846","10","39.98","High"
"1275.0","9","9.20","Medium"
"1065","9","75.78","High"
"1133.0","9","15.62","High"
"875","9","7.26","Medium"
"1192.0","9","15.59","High"
"1202.0","9","14.35","High"
"568","9","8.77","Medium"
"919","9","9.30","Medium"
"1027","9","10.26","Medium"
"1191.0","9","9.07","Medium"
"1048","9","9.98","Medium"
"489","9","24.17","High"
"1254.0","9","10.64","Medium"
"1115.0","9","13.35","High"
"23136","9","6.84","Medium"
"542","9","6.67","Medium"
"856","9","16.79","High"
"852","9","15.57","High"
"808","8","16.68","High"
"742","8","13.97","High"
"757","8","8.17","Medium"
"803","8","5.73","Medium"
"841","8","10.57","Medium"
"858","8","23.58","High"
"991","8","10.73","Medium"
"1140.0","8","10.48","Medium"
"1146.0","8","7.04","Medium"
"1130.0","8","20.59","High"
"23138","8","21.55","High"
"1118.0","8","13.26","High"
"1169.0","8","9.43","Medium"
"1177.0","8","19.02","High"
"1105.0","8","13.62","High"
"1103.0","8","21.72","High"
"1187.0","8","15.44","High"
"1189.0","8","9.64","Medium"
"1089.0","8","7.11","Medium"
"1207.0","8","10.49","Medium"
"1210.0","8","13.08","High"
"1278.0","8","8.90","Medium"
"1248.0","8","26.91","High"
"1013","8","11.40","Medium"
"1245.0","7","26.69","High"
"1218.0","7","12.02","Medium"
"909","7","22.83","High"
"799","7","15.16","High"
"933","7","10.82","Medium"
"809","7","11.50","Medium"
"482","7","7.91","Medium"
"800","7","10.25","Medium"
"749","7","18.16","High"
"831","7","10.14","Medium"
"619","7","23.59","High"
"839","7","29.63","High"
"966","7","6.16","Medium"
"752","7","5.65","Medium"
"753","7","13.52","High"
"21396","7","20.54","High"
"829","7","9.78","Medium"
"1266.0","7","25.61","High"
"756","7","7.46","Medium"
"900","7","8.21","Medium"
"692","7","5.03","Medium"
"1242.0","7","9.76","Medium"
"1099.0","7","13.31","High"
"953","7","11.08","Medium"
"851","7","47.88","High"
"23122","7","19.71","High"
"712","7","33.34","High"
"780","7","17.55","High"
"911","7","14.57","High"
"679","7","10.99","Medium"
"784","6","12.48","High"
"864","6","19.74","High"
"1197.0","6","19.06","High"
"1020","6","15.77","High"
"1167.0","6","13.24","High"
"496","6","10.34","Medium"
"996","6","5.83","Medium"
"859","6","7.56","Medium"
"681","6","10.00","Medium"
"1220.0","6","17.16","High"
"483","6","21.11","High"
"1107.0","6","20.02","High"
"1185.0","6","10.85","Medium"
"477","6","13.10","High"
"860","6","8.16","Medium"
"21359","6","16.53","High"
"1032","6","20.19","High"
"1230.0","6","18.09","High"
"665","6","27.76","High"
"827","6","7.72","Medium"
"995","6","15.66","High"
"1262.0","6","26.41","High"
"677","6","8.89","Medium"
"736","6","28.59","High"
"1237.0","6","14.50","High"
"1152.0","5","26.88","High"
"1114.0","5","5.73","Medium"
"1157.0","5","11.64","Medium"
"1170.0","5","12.54","High"
"965","5","8.23","Medium"
"1166.0","5","8.86","Medium"
"1117.0","5","16.39","High"
"1036","5","8.54","Medium"
"751","5","14.30","High"
"762","5","6.03","Medium"
"1232.0","5","11.62","Medium"
"714","5","10.60","Medium"
"980","5","13.28","High"
"993","5","31.04","High"
"678","5","4.14","Medium"
"641","5","17.68","High"
"942","5","26.68","High"
"1198.0","5","12.16","High"
"921","5","11.63","Medium"
"987","5","9.89","Medium"
"811","5","25.69","High"
"1144.0","5","20.40","High"
"23128","5","16.83","High"
"819","5","20.22","High"
"1186.0","5","6.64","Medium"
"838","5","12.04","Medium"
"1179.0","5","10.98","Medium"
"1108.0","5","12.88","High"
"18025","5","21.49","High"
"1233.0","4","25.97","High"
"1231.0","4","15.35","High"
"1194.0","4","17.55","High"
"538","4","7.31","Medium"
"1223.0","4","11.29","Medium"
"1081.0","4","11.78","Medium"
"816","4","8.01","Medium"
"883","4","8.28","Medium"
"1244.0","4","21.09","High"
"776","4","1.78","Medium"
"822","4","5.46","Medium"
"903","4","14.34","High"
"1050","4","5.87","Medium"
"23117","4","22.91","High"
"963","4","31.28","High"
"737","4","6.18","Medium"
"656","4","10.30","Medium"
"1274.0","4","38.80","High"
"1272.0","4","41.72","High"
"1265.0","4","21.60","High"
"755","4","7.36","Medium"
"1183.0","4","14.13","High"
"998","4","8.50","Medium"
"891","4","13.30","High"
"1255.0","4","14.63","High"
"1161.0","4","54.87","High"
"478","4","9.42","Medium"
"1069","4","8.69","Medium"
"807","4","8.87","Medium"
"686","4","20.51","High"
"21354","4","9.62","Medium"
"21312","4","13.36","High"
"888","4","9.15","Medium"
"1060","4","5.42","Medium"
"1059","4","16.01","High"
"1251.0","4","9.22","Medium"
"1174.0","4","12.69","High"
"844","4","43.83","High"
"1221.0","3","24.78","High"
"1136.0","3","37.89","High"
"1135.0","3","11.85","Medium"
"612","3","17.23","High"
"1147.0","3","47.63","High"
"602","3","6.32","Medium"
"955","3","23.06","High"
"952","3","61.36","High"
"947","3","14.73","High"
"531","3","16.48","High"
"920","3","12.65","High"
"917","3","23.33","High"
"23172","3","24.15","High"
"912","3","13.87","High"
"867","3","13.43","High"
"862","3","15.42","High"
"1154.0","3","9.47","Medium"
"1165.0","3","24.55","High"
"1111.0","3","40.09","High"
"1241.0","3","36.02","High"
"1106.0","3","20.12","High"
"835","3","6.60","Medium"
"1094.0","3","10.04","Medium"
"721","3","7.74","Medium"
"1077.0","3","11.12","Medium"
"812","3","16.06","High"
"798","3","27.22","High"
"794","3","9.60","Medium"
"769","3","24.56","High"
"1045","3","8.22","Medium"
"715","3","11.49","Medium"
"1043","3","9.95","Medium"
"1042","3","15.96","High"
"1030","3","17.45","High"
"1029","3","23.18","High"
"1028","3","9.75","Medium"
"733","3","58.34","High"
"989","3","5.68","Medium"
"992","3","13.05","High"
"1260.0","2","3.99","Low"
"890","2","36.91","Low"
"970","2","36.85","Low"
"898","2","6.68","Low"
"23113","2","16.54","Low"
"828","2","20.44","Low"
"1190.0","2","5.75","Low"
"23120","2","25.49","Low"
"23121","2","22.32","Low"
"704","2","7.33","Low"
"23129","2","18.73","Low"
"1193.0","2","16.68","Low"
"1078.0","2","17.73","Low"
"990","2","8.80","Low"
"23165","2","7.54","Low"
"923","2","30.07","Low"
"1071","2","15.00","Low"
"927","2","8.04","Low"
"1068","2","0.73","Low"
"718","2","4.20","Low"
"481","2","5.84","Low"
"1015","2","20.81","Low"
"795","2","9.70","Low"
"1213.0","2","16.27","Low"
"791","2","25.87","Low"
"785","2","4.50","Low"
"532","2","4.35","Low"
"940","2","24.03","Low"
"941","2","35.64","Low"
"946","2","2.94","Low"
"949","2","11.87","Low"
"558","2","16.73","Low"
"645","2","12.60","Low"
"956","2","10.88","Low"
"994","2","8.42","Low"
"653","2","17.81","Low"
"663","2","11.35","Low"
"759","2","24.50","Low"
"758","2","25.45","Low"
"606","2","0.48","Low"
"1273.0","2","14.60","Low"
"1268.0","2","28.08","Low"
"1267.0","2","17.96","Low"
"610","2","15.87","Low"
"611","2","18.14","Low"
"615","2","14.40","Low"
"616","2","5.63","Low"
"1016","2","5.14","Low"
"1261.0","2","7.71","Low"
"886","2","51.18","Low"
"673","2","22.21","Low"
"670","2","5.95","Low"
"738","2","8.95","Low"
"626","2","8.93","Low"
"1022","2","28.26","Low"
"635","2","19.28","Low"
"1116.0","2","14.60","Low"
"1159.0","2","39.41","Low"
"1158.0","2","9.17","Low"
"697","2","10.63","Low"
"847","2","19.11","Low"
"OH Charging Stx - Test","2","0.40","Low"
"868","2","44.77","Low"
"731","2","11.05","Low"
"876","2","9.30","Low"
"1137.0","1","3.22","Low"
"1156.0","1","4.50","Low"
"874","1","4.65","Low"
"667","1","17.27","Low"
"779","1","3.55","Low"
"943","1","4.70","Low"
"743","1","6.62","Low"
"741","1","25.75","Low"
"739","1","3.03","Low"
"774","1","6.83","Low"
"664","1","3.77","Low"
"713","1","58.87","Low"
"1283.0","1","5.10","Low"
"1282.0","1","9.57","Low"
"622","1","7.87","Low"
"849","1","12.92","Low"
"887","1","8.10","Low"
"1281.0","1","13.17","Low"
"699","1","96.65","Low"
"983","1","4.88","Low"
"895","1","7.93","Low"
"896","1","7.12","Low"
"1173.0","1","48.48","Low"
"723","1","82.37","Low"
"899","1","12.12","Low"
"578","1","20.70","Low"
"982","1","14.53","Low"
"1188.0","1","13.25","Low"
"720","1","7.03","Low"
"997","1","33.43","Low"
"589","1","0.17","Low"
"23114","1","14.32","Low"
"734","1","0.20","Low"
"1041","1","16.70","Low"
"1023","1","6.20","Low"
"820","1","4.47","Low"
"23126","1","6.08","Low"
"968","1","44.27","Low"
"1082.0","1","16.32","Low"
"904","1","7.82","Low"
"1080.0","1","54.58","Low"
"842","1","3.98","Low"
"905","1","1.50","Low"
"607","1","4.85","Low"
"668","1","28.37","Low"
"609","1","7.35","Low"
"908","1","36.27","Low"
"1196.0","1","11.67","Low"
"634","1","24.70","Low"
"915","1","19.83","Low"
"1073.0","1","7.30","Low"
"922","1","18.22","Low"
"708","1","47.57","Low"
"1021","1","24.12","Low"
"845","1","13.93","Low"
"924","1","10.23","Low"
"716","1","8.77","Low"
"710","1","10.43","Low"
"613","1","7.50","Low"
"804","1","13.17","Low"
"1067","1","0.33","Low"
"614","1","3.90","Low"
"1066","1","119.13","Low"
"711","1","10.13","Low"
"1063","1","2.37","Low"
"1062","1","6.92","Low"
"1164.0","1","33.02","Low"
"936","1","5.07","Low"
"511","1","12.47","Low"
"669","1","25.65","Low"
"640","1","6.13","Low"
"524","1","28.85","Low"
"617","1","12.15","Low"
"725","1","12.40","Low"
"618","1","6.48","Low"
"871","1","153.07","Low"
"789","1","139.58","Low"
"787","1","57.93","Low"
"745","1","15.27","Low"
"526","1","12.05","Low"
