"station_id","station_name","lat","lng","start_count","start_count_member","start_count_casual"
"TA1307000130","Morgan St & Polk St","41.8718019770505607","-87.6510295721584901","19567","16845","2722"
"13071","Southport Ave & Roscoe St","41.9437257913062143","-87.6640074102861622","19476","12298","7178"
"TA1309000061","Halsted St & Wrightwood Ave","41.9291294476770254","-87.6490907259547976","19355","12324","7031"
"13341","Canal St & Madison St","41.8823306149959248","-87.6397745609339588","19187","13857","5330"
"TA1305000006","Dearborn St & Monroe St","41.8812199209124111","-87.6295650328652991","19104","13926","5178"
"13063","Sheridan Rd & Irving Park Rd","41.9542337205175080","-87.6544139981472200","19037","13220","5817"
"TA1308000049","Wells St & Evergreen Ave","41.9067181752011072","-87.6348975692650610","18954","11152","7802"
"TA1306000010","Daley Center Plaza","41.8842048714711643","-87.6296207379459266","18697","13096","5601"
"TA1309000033","Sheffield Ave & Webster Ave","41.9215787259516290","-87.6538139606782127","18567","12023","6544"
"TA1309000024","Clark St & Schiller St","41.9079832253728709","-87.6315275259024362","18550","12596","5954"
"13216","State St & 33rd St","41.8347360065538090","-87.6258105249987287","18170","16707","1463"
"13021","Clinton St & Lake St","41.8856121415433472","-87.6418504347419500","18122","13215","4907"
"TA1307000041","DuSable Lake Shore Dr & Wellington Ave","41.9366911174412093","-87.6368304795871823","17918","10103","7815"
"TA1306000014","Wilton Ave & Diversey Pkwy","41.9324127125731724","-87.6527008677952410","17870","11648","6222"
"TA1307000121","Halsted St & Polk St","41.8718350621113708","-87.6466393834862425","17714","14917","2797"
"TA1309000066","Ravenswood Ave & Lawrence Ave","41.9689093498125852","-87.6742305979115508","17702","12427","5275"
"623","Public Rack - Halsted St & 102nd St","41.8726156351277013","-87.6240002158197173","17559","6736","10823"
"SL-008","Federal St & Polk St","41.8720864859522475","-87.6295575661004008","17540","12195","5345"
"13158","Peoria St & Jackson Blvd","41.8776520995294204","-87.6495834830632669","17352","13144","4208"
"TA1309000023","Sheffield Ave & Wrightwood Ave","41.9287030310032426","-87.6538358599969224","17349","10575","6774"
"TA1305000003","Fairbanks Ct & Grand Ave","41.8918600091609967","-87.6205931378566223","17349","10875","6474"
"TA1307000052","Sheffield Ave & Wellington Ave","41.9362618006118125","-87.6526623840615503","16977","10987","5990"
"13431","Adler Planetarium","41.8661017735040712","-87.6072813960002979","16849","5009","11840"
